"","EventID","ProjectID","Project_Name","LocationID","Site_Name","ISO_Country","Order","Family","Seabird_Name","Sci_Name","SpeciesAutoID","IUCNstat","Social_Attraction","SA_Status","Social_Attraction_Start","Social_Attraction_End","Translocation","Trans_Stat","Translocation_Start","Translocation_End","SA_Implementation","Trans_Implementation","Visitation_PreOperation","Visitation_Operation","Visitation_Yr1_SinceOperation","Breeding_PreOpCat","Breeding_PostOpCat","Breeding_Yr1","Breeding_YrLast","Breeding_Data_Yr","Stimuli_Attraction","Visitation_Translocation","Breeding_Translocated","Family_Common","Reintroductions","method","method_simpl","AllStartYr","AllEndYr","Allduration","SA_duration","Trans_duration","TimeSinceStart","stat_all","Latitude","Longitude","ISO3","Artificial_Location","Island_Mainland","Sensitive","Grouped_Sites","Invasive_Animals","Invasive_Animal_Management","Problematic_Native_Animals","Problematic_Native_Animal_Management","Lead_Organization","Primary_Justification","JustSimple","Legal_Mandate","Community_Engagement","Research","Restore_Ecosystem_Function","Species_Conservation","Other","Unknown","Justification_Other","Threat_Reduction_Justification_Primary","Threat_Reduction_Justification_Secondary","Project_Goal","Number_Target_Species","Data_Quality","References"
"1",8,2,"James Campbell Seabird Restoration Project",1,"James Campbell National Wildlife Refuge","US","Procellariiformes","Procellariidae","Bonin Petrel","Pterodroma hypoleuca",767,"LC",TRUE,"Ongoing",2018,NA,TRUE,"Complete",2018,2021,"Achieved","Achieved","No","Yes",2019,"0","1 - 10",2021,2021,2021,"Unknown","Yes","Yes","Shearwaters & Petrels","Reintroduction","Both","Translocation",2018,2021,3,3,3,3,"Ongoing",21.694872,-157.954432,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","Yes","Ongoing","Pacific Rim Conservation;USFWS","Species Conservation","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Climate Change","Invasive Species","establish new colonies of seabirds on higher elevation site to conserve species",4,1,"Young, L. 2021, Personal Communication; Pacific Rim Conservation. 2021. TRSP and BOPE chick data 2018-2021. ; VanderWerf, E. 2021. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu. ; Spatz, D. 2021, Personal Communication; Dittmar, E. 2021, Personal Communication; Spatz, D. 2021, Personal Communication; Dittmar, E. 2020, Personal Communication"
"2",2,2,"James Campbell Seabird Restoration Project",1,"James Campbell National Wildlife Refuge","US","Procellariiformes","Diomedeidae","Laysan Albatross","Phoebastria immutabilis",827,"NT",TRUE,"Ongoing",2015,NA,TRUE,"Complete",2015,2017,"Achieved","Achieved","No","Yes",2015,"0","1 - 10",2017,2021,2021,"Yes","Yes","No","Albatrosses","Reintroduction","Both","Translocation",2015,2021,6,6,2,6,"Ongoing",21.694872,-157.954432,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","Yes","Ongoing","Pacific Rim Conservation;USFWS","Species Conservation","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Climate Change","Invasive Species","establish new colonies of seabirds on higher elevation site to conserve species",4,1,"VanderWerf, E. 2021. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu. ; Vanderwerf, E. 2021, Personal Communication; Spatz, D. 2021, Personal Communication; Dittmar, E. 2021, Personal Communication; VanderWerf, E. 2019, Personal Communication; Young, L. 2019, Personal Communication; Dalton, M. 2018. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu: 2018 Final Report. ; VanderWerf, E. 2016. Translocation of Laysan Albatross from the Pacific Missile Range Facility on Kauai to James Campbell National Wildlife Refuge on Oahu: Final Report. ; VanderWerf, E. 2015. Translocation of Laysan Albatross from the Pacific Missile Range Facility on Kauai to James Campbell National Wildlife Refuge on Oahu: Final Report."
"3",1092,2,"James Campbell Seabird Restoration Project",1,"James Campbell National Wildlife Refuge","US","Procellariiformes","Procellariidae","Wedge-tailed Shearwater","Ardenna pacifica",803,"LC",TRUE,"Complete",2017,2017,FALSE,"None",NA,NA,"Achieved",NA,"No","Yes",2017,"0","51 - 100",2018,2021,2021,"Yes",NA,NA,"Shearwaters & Petrels","Reintroduction","Social_Attraction","Social Attraction",2017,2017,0,0,NA,4,"Complete",21.694872,-157.954432,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","Yes","Ongoing","Pacific Rim Conservation;USFWS","Species Conservation","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Climate Change","Invasive Species","establish new colonies of seabirds on higher elevation site to conserve species",4,1,"VanderWerf, E. 2021. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu. ; Vanderwef, E. 2021, Personal Communication"
"4",1,2,"James Campbell Seabird Restoration Project",1,"James Campbell National Wildlife Refuge","US","Procellariiformes","Diomedeidae","Black-footed Albatross","Phoebastria nigripes",826,"NT",TRUE,"Ongoing",2017,NA,TRUE,"Complete",2017,2021,"Achieved","Partially Achieved","No","Yes",2020,"0","0",NA,NA,2021,"Yes","Yes","No","Albatrosses","Reintroduction","Both","Translocation",2017,2021,4,4,4,4,"Ongoing",21.694872,-157.954432,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","Yes","Ongoing","Pacific Rim Conservation;USFWS","Species Conservation","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Climate Change","Invasive Species","establish new colonies of seabirds on higher elevation site to conserve species",4,1,"Young, L. 2021, Personal Communication; VanderWerf, E. 2021. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu. ; Spatz, D. 2021, Personal Communication; Pacific Rim Conservation. 2021. BFAL Chick Data 2017-2021. ; Dittmar, E. 2021, Personal Communication; VanderWerf, E. 2019. Establishing Laysan and black-footed albatross breeding colonies using translocation and social attraction. Global Ecology and Conservation"
"5",1093,2,"James Campbell Seabird Restoration Project",1,"James Campbell National Wildlife Refuge","US","Phaethontiformes","Phaethontidae","Red-tailed Tropicbird","Phaethon rubricauda",705,"LC",TRUE,"Ongoing",2019,NA,FALSE,"None",NA,NA,"Achieved",NA,"Yes","Yes",2019,"0","0",NA,NA,2021,"Yes",NA,NA,"Tropicbirds","Reintroduction","Social_Attraction","Social Attraction",2019,2021,2,2,NA,2,"Ongoing",21.694872,-157.954432,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","Yes","Ongoing","Pacific Rim Conservation;USFWS","Species Conservation","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Climate Change","Invasive Species","establish new colonies of seabirds on higher elevation site to conserve species",4,1,"VanderWerf, E. 2021, Personal Communication; VanderWerf, E. 2021. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu."
"6",9,2,"James Campbell Seabird Restoration Project",1,"James Campbell National Wildlife Refuge","US","Procellariiformes","Hydrobatidae","Tristram's Storm-petrel","Hydrobates tristrami",846,"NT",TRUE,"Ongoing",2018,NA,TRUE,"Ongoing",2018,NA,"Achieved","Partially Achieved","No","Yes",2020,"0","0",NA,NA,2021,"Unknown","Yes","No","Storm-petrels","Reintroduction","Both","Translocation",2018,2021,3,3,3,3,"Ongoing",21.694872,-157.954432,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","Yes","Ongoing","Pacific Rim Conservation;USFWS","Species Conservation","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Climate Change","Invasive Species","establish new colonies of seabirds on higher elevation site to conserve species",4,1,"Young, L. 2021, Personal Communication; VanderWerf, E. 2021, Personal Communication; Pacific Rim Conservation. 2021. TRSP and BOPE chick data 2018-2021. ; VanderWerf, E. 2021. Translocation of Black-footed Albatross, Bonin Petrel and Tristram’s Storm-petrel chicks from Papahānaumokuākea Marine National Monument to James Campbell National Wildlife Refuge on Oahu. ; Spatz, D. 2021, Personal Communication; Dittmar, E. 2021, Personal Communication; Dittmar, E. 2020, Personal Communication"
"7",4,6,"PMRF Albatross Egg Swap Program",2,"Kauai - North Coast Private Properties","US","Procellariiformes","Diomedeidae","Laysan Albatross","Phoebastria immutabilis",827,"NT",FALSE,"None",NA,NA,TRUE,"Ongoing",2005,NA,NA,"Achieved","Yes","Yes",2005,"11 - 50","11 - 50",2005,2021,2021,NA,"Unknown","Unknown","Albatrosses","Reinforcement","Translocation","Translocation",2005,2021,16,NA,16,16,"Ongoing",22.225572,NA,"USA","No","Island",TRUE,TRUE,"Yes","Ongoing","No","None","US Navy; Pacific Rim Conservation; USFWS; USDA","Species Conservation","Active Restoration",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Human-Wildlife Conflict","Invasive Species","U.S. Navy requirement to reduce the bird air strike hazard(BASH)to aircraft by placing fertile eggs from PMRF into foster nests on private properties on  north shore of Kauai in which the natural egg was not fertile",1,2,"Vanderwerf, E. 2021, Personal Communication; Vanderwerf, E. 2020. 2020 PMRF ALBATROSS EGG SWAP FINAL REPORT. ; Young, L. 2019, Personal Communication; VanderWerf, E. 2015. Translocation of Laysan Albatross from the Pacific Missile Range Facility on Kauai to James Campbell National Wildlife Refuge on Oahu: Final Report. ; Young, L. 2014. Breeding performance of Laysan Albatrosses Phoebastria immutabilis in a foster parent program. Marine Ornithology; Young, L. 2009. 2009 KAUAI ALBATROSS EGG SWAP REPORT."
"8",19,7,"Nihoku Ecosystem Restoration Project",3,"Nihoku","US","Procellariiformes","Procellariidae","Hawaiian Petrel","Pterodroma sandwichensis",589,"EN",TRUE,"Ongoing",2016,NA,TRUE,"Complete",2015,2020,"Achieved","Achieved","No","Yes",2019,"0","1 - 10",2021,2021,2021,"Unknown","Yes","Yes","Shearwaters & Petrels","Reintroduction","Both","Translocation",2015,2021,6,5,5,6,"Ongoing",22.221313,-159.391583,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","PRC; KESRP;USFWS; DLNR","Legal Mandate","Active Restoration",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Pollution/Lights","provide a safe nesting place for seabirds on Kauai`I via creating safe nesting habitat for NESH (‘A‘o) and HAPE (‘Ua‘u ), Hawai`i’s only two endemic seabirds, and enhancing the existing breeding colonies of Mōlī  (Laysan Albatross)",2,1,"Pacific Rim Conservation. 2021. Nihoku Ecosystem Restoration Project - July 2021 Interim Report. Pacific Rim Conservation; Dittmar, E. 2021, Personal Communication; Young, L. 2021, Personal Communication; American Bird Conservancy. 2020. After Years at Sea, Hawaiian Petrel Arrives Safely Home. ; Kohley, C. 2020. Translocation Summary Data 2015 to 2020. ; Young, L. 2018. TRANSLOCATION OF NEWELLS SHEARWATERS AND HAWAIIAN PETRELS TO CREATE A NEW COLOY. ; Schubal, S. 2013. Murremaid Music Boxes Database."
"9",1097,7,"Nihoku Ecosystem Restoration Project",3,"Nihoku","US","Procellariiformes","Procellariidae","Bulwer's Petrel","Bulweria bulwerii",796,"LC",TRUE,"Ongoing",2015,NA,FALSE,"None",NA,NA,"Achieved",NA,"No","Yes",2016,"0","0",NA,NA,2021,"Yes",NA,NA,"Shearwaters & Petrels","Reintroduction","Social_Attraction","Social Attraction",2015,2021,6,6,NA,6,"Ongoing",22.221313,-159.391583,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","PRC; KESRP;USFWS; DLNR","Legal Mandate","Active Restoration",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Pollution/Lights","provide a safe nesting place for seabirds on Kauai`I via creating safe nesting habitat for NESH (‘A‘o) and HAPE (‘Ua‘u ), Hawai`i’s only two endemic seabirds, and enhancing the existing breeding colonies of Mōlī  (Laysan Albatross)",2,1,"Young, L. 2021, Personal Communication"
"10",14,7,"Nihoku Ecosystem Restoration Project",3,"Nihoku","US","Procellariiformes","Procellariidae","Newell's Shearwater","Puffinus newelli",596,"CR",TRUE,"Ongoing",2015,NA,TRUE,"Complete",2016,2020,"Partially Achieved","Achieved","No","Yes",2020,"0","0",NA,NA,2021,"Unknown","Yes","No","Shearwaters & Petrels","Reintroduction","Both","Translocation",2015,2021,6,6,4,6,"Ongoing",22.221313,-159.391583,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","PRC; KESRP;USFWS; DLNR","Legal Mandate","Active Restoration",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Pollution/Lights","provide a safe nesting place for seabirds on Kauai`I via creating safe nesting habitat for NESH (‘A‘o) and HAPE (‘Ua‘u ), Hawai`i’s only two endemic seabirds, and enhancing the existing breeding colonies of Mōlī  (Laysan Albatross)",2,1,"Pacific Rim Conservation. 2021. Nihoku Ecosystem Restoration Project - July 2021 Interim Report. Pacific Rim Conservation; Dittmar, E. 2021, Personal Communication; Young, L. 2021, Personal Communication; Kohley, C. 2020. Translocation Summary Data 2015 to 2020. ; Pacific Rim Conservation. 2019. Nihoku Ecosystem Restoration Project. ; Casillas, D. 2019, Personal Communication; Young, L. 2019, Personal Communication; Schubal, S. 2013. Murremaid Music Boxes Database."
